Flight_Number,Departure_Airport,Arrival_Airport,Flight_Date,Flight_Time,Booking_Date,Booking_Channel,Passenger_ID,Age,Travel_Class,Ticket_Price,Fare_Class,Payment_Method,Flight_Month,Date,GDP_Growth_Rate,Inflation_Rate,Unemployment_Rate,Month,Holiday_Name,Holiday_Date,Holiday_Type,Holiday_Indicator,Weather_Condition,Temperature,Wind_Speed,Precipitation,Departure_Delay,Cancellation,Competitor_Price,Booking_Lead_Time,Airline,Flight_Date_Numeric,Booking_Date_Numeric,Flight_Time_Minutes,Holiday_Date_Numeric,Days_Until_Flight,Surge_Factor,Original_Ticket_Price
DA404,ORD,LAS,2023-06-02,23:50:00,2023-05-12,Travel Agency,2947,56,Business,503.90999999999997,Discount,Credit Card,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-02,Non-Holiday,0,Snow,14.42,15.6,32.71,151,0,436.58,21,Delta Airlines,152,227,1430,152,21,1.5,671.88
EA505,DEN,MIA,2023-06-29,12:22:00,2023-04-11,Travel Agency,1068,37,Business,693.125,Premium,Debit Card,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-29,Non-Holiday,0,Clear,14.17,13.24,30.84,51,0,343.12,79,Emirates,179,196,742,179,79,1.0,1386.25
BA202,DFW,LAS,2023-05-06,10:55:00,2023-04-09,Online,2828,48,First Class,102.135,Regular,Debit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-06,Non-Holiday,0,Rain,38.54,10.94,36.07,75,0,213.82,27,British Airways,125,194,655,125,27,1.5,136.18
DA404,ORD,SEA,2023-02-07,12:44:00,2023-01-27,Online,2954,37,Business,1077.0210000000002,Discount,Miles,2023-02,2023-02-01,-0.8,3.75,6.88,2023-02,No Holiday,2023-02-07,Non-Holiday,0,Snow,-6.19,17.05,49.15,69,0,85.22,11,Delta Airlines,37,122,764,37,11,2.2,979.11
CA303,JFK,LAS,2023-10-29,18:30:00,2023-10-02,Travel Agency,3906,18,First Class,151.3125,Regular,Miles,2023-10,2023-10-01,0.89,0.31,3.26,2023-10,No Holiday,2023-10-29,Non-Holiday,0,Storm,11.81,2.11,1.5,176,0,988.26,27,Air Canada,301,370,1110,301,27,1.5,201.75
DA404,LAX,SFO,2023-07-08,00:22:00,2023-06-03,Travel Agency,1790,28,Economy,343.55400000000003,Regular,Miles,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-08,Non-Holiday,0,Fog,7.48,19.39,38.98,2,0,175.06,35,Delta Airlines,188,249,22,188,35,1.2,572.59
EA505,LAX,SEA,2023-02-10,19:12:00,2022-11-18,Online,4332,69,First Class,696.15,Regular,Miles,2023-02,2023-02-01,-0.8,3.75,6.88,2023-02,No Holiday,2023-02-10,Non-Holiday,0,Snow,-1.31,20.0,39.09,34,0,731.96,84,Emirates,40,52,1152,40,84,1.0,1392.3
AA100,LAX,ATL,2023-07-04,15:18:00,2023-04-20,Phone,1349,56,Economy,572.14,Discount,Credit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-04,Non-Holiday,0,Storm,15.69,1.0,47.79,43,0,521.97,75,American Airlines,184,205,918,184,75,1.0,1144.28
BA202,LAX,SEA,2023-08-12,16:38:00,2023-08-01,Online,941,47,First Class,1562.132,Discount,Credit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-12,Non-Holiday,0,Fog,20.88,16.5,38.24,136,0,944.39,11,British Airways,223,308,998,223,11,2.2,1420.12
CA303,LAX,LAS,2023-07-08,05:27:00,2023-05-15,Online,2919,18,Economy,121.485,Discount,Credit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-08,Non-Holiday,0,Fog,35.8,10.11,43.32,168,0,1392.02,54,Air Canada,188,230,327,188,54,1.0,242.97
DA404,DFW,SFO,2023-04-21,01:20:00,2023-04-06,Travel Agency,4242,68,Economy,657.51,Regular,Debit Card,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-21,Non-Holiday,0,Clear,-5.91,5.59,19.74,22,1,761.05,15,Delta Airlines,110,191,80,110,15,1.5,876.68
DA404,LAX,MIA,2023-04-17,02:53:00,2023-01-19,Travel Agency,3570,28,Business,496.07,Discount,Miles,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-17,Non-Holiday,0,Snow,-4.44,17.86,16.5,228,0,1292.96,88,Delta Airlines,106,114,173,106,88,1.0,992.14
DA404,JFK,LAS,2023-01-18,15:49:00,2023-01-15,Travel Agency,4155,45,First Class,689.328,Regular,Credit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-18,Non-Holiday,0,Clear,18.19,14.86,47.34,38,0,1108.52,3,Delta Airlines,17,110,949,17,3,3.2,430.83
CA303,JFK,LAS,2023-02-17,02:48:00,2022-12-05,Travel Agency,2395,40,Business,69.2,Regular,Debit Card,2023-02,2023-02-01,-0.8,3.75,6.88,2023-02,No Holiday,2023-02-17,Non-Holiday,0,Clear,8.28,18.27,46.67,93,0,593.44,74,Air Canada,47,69,168,47,74,1.0,138.4
EA505,ORD,SEA,2023-08-27,08:34:00,2023-05-28,Phone,4341,50,Business,270.115,Discount,Miles,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-27,Non-Holiday,0,Clear,34.3,19.42,9.32,27,0,247.78,91,Emirates,238,243,514,238,91,1.0,540.23
BA202,LAX,LAS,2023-01-20,15:31:00,2022-11-30,Online,4126,59,Economy,192.05,Discount,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-20,Non-Holiday,0,Clear,14.08,15.84,47.09,84,0,1197.75,51,British Airways,19,64,931,19,51,1.0,384.1
DA404,DEN,LAS,2023-03-08,21:44:00,2023-02-18,Online,1913,37,Economy,820.5,Premium,Miles,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-08,Non-Holiday,0,Storm,1.96,3.27,48.07,217,0,1254.9,18,Delta Airlines,66,144,1304,66,18,1.5,1094.0
EA505,LAX,MIA,2023-09-12,17:36:00,2023-06-06,Phone,2611,22,Economy,616.425,Discount,Miles,2023-09,2023-09-01,0.55,9.26,2.72,2023-09,No Holiday,2023-09-12,Non-Holiday,0,Fog,33.13,12.1,4.88,64,0,453.34,98,Emirates,254,252,1056,254,98,1.0,1232.85
AA100,ORD,LAS,2023-04-27,09:05:00,2023-04-01,Travel Agency,1157,53,First Class,256.01250000000005,Regular,Miles,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-27,Non-Holiday,0,Rain,22.02,15.05,23.4,25,0,900.39,26,American Airlines,116,186,545,116,26,1.5,341.35
BA202,DEN,LAS,2023-11-28,11:35:00,2023-09-02,Travel Agency,3772,30,Economy,465.975,Premium,Miles,2023-11,2023-11-01,0.77,7.73,8.5,2023-11,No Holiday,2023-11-28,Non-Holiday,0,Rain,22.13,0.73,0.67,179,0,519.0,87,British Airways,331,340,695,331,87,1.0,931.95
DA404,JFK,SFO,2023-05-26,06:32:00,2023-05-10,Phone,4571,68,Economy,398.40000000000003,Premium,Credit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-26,Non-Holiday,0,Storm,17.79,19.27,10.22,186,0,937.18,16,Delta Airlines,145,225,392,145,16,1.5,531.2
BA202,ORD,LAS,2023-06-28,03:29:00,2023-06-06,Travel Agency,3021,49,Business,1052.8799999999999,Discount,Miles,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-28,Non-Holiday,0,Clear,-1.22,12.49,18.79,225,0,430.25,22,British Airways,178,252,209,178,22,1.5,1403.84
AA100,JFK,MIA,2023-01-07,10:43:00,2022-12-24,Online,2408,22,First Class,837.529,Regular,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-07,Non-Holiday,0,Storm,32.57,2.01,48.4,66,1,835.36,14,American Airlines,6,88,643,6,14,2.2,761.39
BA202,ORD,SEA,2023-07-21,12:53:00,2023-05-15,Online,4154,44,First Class,711.53,Regular,Miles,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-21,Non-Holiday,0,Storm,26.14,12.17,9.8,189,0,750.15,67,British Airways,201,230,773,201,67,1.0,1423.06
EA505,JFK,SEA,2023-11-29,22:45:00,2023-10-27,Phone,4021,57,Economy,757.632,Premium,Credit Card,2023-11,2023-11-01,0.77,7.73,8.5,2023-11,No Holiday,2023-11-29,Non-Holiday,0,Clear,9.91,6.46,15.77,126,0,162.66,33,Emirates,332,395,1365,332,33,1.2,1262.72
EA505,DFW,SEA,2023-03-18,02:47:00,2023-01-16,Online,1360,68,First Class,478.275,Premium,Credit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-18,Non-Holiday,0,Storm,39.11,16.62,36.04,105,0,474.71,61,Emirates,76,111,167,76,61,1.0,956.55
BA202,JFK,LAS,2023-03-19,01:56:00,2023-01-03,Travel Agency,2147,42,Economy,507.29,Regular,Miles,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-19,Non-Holiday,0,Rain,-2.13,8.33,48.26,227,0,490.2,75,British Airways,77,98,116,77,75,1.0,1014.58
AA100,LAX,SFO,2023-10-31,11:02:00,2023-10-06,Phone,4556,47,Economy,483.48,Regular,Debit Card,2023-10,2023-10-01,0.89,0.31,3.26,2023-10,No Holiday,2023-10-31,Non-Holiday,0,Rain,29.84,14.72,30.29,89,0,528.69,25,American Airlines,303,374,662,303,25,1.5,644.64
AA100,LAX,SFO,2023-01-19,04:34:00,2022-11-12,Online,2017,19,First Class,221.555,Regular,Credit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-19,Non-Holiday,0,Clear,39.07,11.99,24.02,53,0,761.84,68,American Airlines,18,46,274,18,68,1.0,443.11
DA404,LAX,SFO,2023-03-10,04:21:00,2023-02-09,Travel Agency,217,53,Economy,447.65250000000003,Regular,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-10,Non-Holiday,0,Fog,23.38,1.89,46.77,169,0,583.79,29,Delta Airlines,68,135,261,68,29,1.5,596.87
DA404,DFW,ATL,2023-08-09,19:19:00,2023-07-23,Travel Agency,2745,26,Business,439.5225,Premium,Debit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-09,Non-Holiday,0,Clear,7.07,7.69,21.77,117,0,1355.81,17,Delta Airlines,220,299,1159,220,17,1.5,586.03
EA505,DEN,ATL,2023-08-11,07:50:00,2023-05-29,Online,2204,62,Economy,710.77,Premium,Miles,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-11,Non-Holiday,0,Fog,3.39,9.87,46.81,108,0,558.18,74,Emirates,222,244,470,222,74,1.0,1421.54
DA404,LAX,SEA,2023-06-05,15:14:00,2023-05-07,Travel Agency,4458,33,Business,632.7375,Discount,Miles,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-05,Non-Holiday,0,Fog,31.73,5.19,42.24,90,0,1313.58,29,Delta Airlines,155,222,914,155,29,1.5,843.65
CA303,DEN,SEA,2023-04-29,05:31:00,2023-04-04,Online,1389,60,First Class,856.1175000000001,Regular,Debit Card,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-29,Non-Holiday,0,Rain,21.4,1.1,40.37,150,0,840.01,25,Air Canada,118,189,331,118,25,1.5,1141.49
BA202,JFK,SEA,2023-04-12,16:20:00,2023-02-08,Travel Agency,4299,68,First Class,424.69,Discount,Credit Card,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-12,Non-Holiday,0,Storm,-4.88,13.29,11.94,34,0,884.94,63,British Airways,101,134,980,101,63,1.0,849.38
CA303,DEN,MIA,2023-10-08,14:59:00,2023-09-12,Phone,1718,53,First Class,115.67249999999999,Premium,Credit Card,2023-10,2023-10-01,0.89,0.31,3.26,2023-10,No Holiday,2023-10-08,Non-Holiday,0,Snow,9.26,16.3,7.62,81,0,1059.86,26,Air Canada,280,350,899,280,26,1.5,154.23
AA100,DFW,MIA,2023-10-26,09:29:00,2023-08-02,Travel Agency,3997,65,First Class,340.775,Regular,Credit Card,2023-10,2023-10-01,0.89,0.31,3.26,2023-10,No Holiday,2023-10-26,Non-Holiday,0,Fog,7.36,11.18,12.92,99,0,181.04,85,American Airlines,298,309,569,298,85,1.0,681.55
DA404,ORD,LAS,2023-03-18,20:27:00,2023-01-28,Travel Agency,30,24,Economy,626.136,Discount,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-18,Non-Holiday,0,Snow,29.81,4.34,30.23,192,0,1083.54,49,Delta Airlines,76,123,1227,76,49,1.2,1043.56
CA303,DEN,ATL,2023-09-27,04:51:00,2023-09-26,Phone,3038,38,Business,2279.278,Discount,Debit Card,2023-09,2023-09-01,0.55,9.26,2.72,2023-09,No Holiday,2023-09-27,Non-Holiday,0,Clear,-6.63,12.65,10.62,53,0,140.62,1,Air Canada,269,364,291,269,1,3.8,1199.62
CA303,DEN,SFO,2023-03-24,17:02:00,2023-02-04,Phone,190,18,Business,654.036,Regular,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-24,Non-Holiday,0,Storm,36.12,4.26,11.64,56,0,554.33,48,Air Canada,82,130,1022,82,48,1.2,1090.06
DA404,LAX,MIA,2023-01-22,20:23:00,2023-01-11,Travel Agency,697,38,First Class,1493.316,Discount,Credit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-22,Non-Holiday,0,Snow,11.89,5.17,40.47,165,0,260.56,11,Delta Airlines,21,106,1223,21,11,2.2,1357.56
EA505,JFK,SFO,2023-10-13,04:43:00,2023-08-26,Online,3142,28,First Class,603.858,Regular,Miles,2023-10,2023-10-01,0.89,0.31,3.26,2023-10,No Holiday,2023-10-13,Non-Holiday,0,Fog,2.1,18.74,39.93,155,0,744.26,48,Emirates,285,333,283,285,48,1.2,1006.43
BA202,DFW,SFO,2023-01-01,02:59:00,2022-10-07,Online,3280,60,First Class,742.195,Regular,Credit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,Independence Day,2023-01-01,Cultural Event,1,Storm,2.37,16.4,37.69,146,0,1044.47,86,British Airways,0,10,179,0,86,1.0,1484.39
AA100,ORD,SFO,2023-03-05,19:57:00,2022-12-02,Travel Agency,1996,24,First Class,575.025,Regular,Credit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-05,Non-Holiday,0,Rain,13.84,6.24,28.21,53,0,812.08,93,American Airlines,63,66,1197,63,93,1.0,1150.05
BA202,DEN,SFO,2023-02-10,06:06:00,2022-11-18,Online,3609,48,First Class,701.955,Regular,Miles,2023-02,2023-02-01,-0.8,3.75,6.88,2023-02,No Holiday,2023-02-10,Non-Holiday,0,Snow,14.51,14.7,16.34,73,0,493.51,84,British Airways,40,52,366,40,84,1.0,1403.91
CA303,JFK,LAS,2023-08-20,10:25:00,2023-05-18,Travel Agency,3741,51,First Class,694.49,Regular,Debit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-20,Non-Holiday,0,Snow,24.08,2.3,10.79,137,0,195.73,94,Air Canada,231,233,625,231,94,1.0,1388.98
EA505,LAX,SEA,2023-01-28,22:00:00,2023-01-23,Phone,3041,47,Economy,1763.7759999999998,Discount,Debit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-28,Non-Holiday,0,Storm,9.64,5.85,31.76,38,0,646.6,5,Emirates,27,118,1320,27,5,2.8,1259.84
DA404,JFK,ATL,2023-12-08,15:17:00,2023-08-31,Online,3377,68,Economy,479.3,Discount,Debit Card,2023-12,2023-12-01,3.85,2.98,4.42,2023-12,No Holiday,2023-12-08,Non-Holiday,0,Snow,0.73,16.86,45.3,181,0,443.02,99,Delta Airlines,341,338,917,341,99,1.0,958.6
EA505,DEN,SEA,2023-05-13,09:25:00,2023-02-22,Travel Agency,2376,23,First Class,512.04,Premium,Credit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-13,Non-Holiday,0,Clear,39.95,14.41,14.36,27,0,1205.21,80,Emirates,132,148,565,132,80,1.0,1024.08
EA505,ORD,ATL,2023-08-06,02:46:00,2023-07-22,Online,297,69,Economy,576.465,Regular,Credit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-06,Non-Holiday,0,Rain,-7.67,5.37,26.22,83,0,109.96,15,Emirates,217,298,166,217,15,1.5,768.62
CA303,DEN,LAS,2023-01-15,07:32:00,2022-12-06,Online,3806,40,Business,893.406,Regular,Debit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-15,Non-Holiday,0,Fog,29.06,18.16,15.58,69,0,360.51,40,Air Canada,14,70,452,14,40,1.2,1489.01
CA303,ORD,LAS,2023-01-15,16:04:00,2023-01-13,Travel Agency,1049,65,Business,411.9680000000001,Discount,Credit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-15,Non-Holiday,0,Clear,19.89,8.82,39.1,100,0,1350.71,2,Air Canada,14,108,964,14,2,3.2,257.48
AA100,LAX,SEA,2023-01-19,15:17:00,2023-01-17,Phone,2214,62,Economy,1435.5680000000002,Premium,Debit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-19,Non-Holiday,0,Clear,39.07,11.99,24.02,69,0,1258.65,2,American Airlines,18,112,917,18,2,3.2,897.23
DA404,ORD,SEA,2023-05-13,11:13:00,2023-03-03,Phone,751,49,First Class,620.35,Discount,Credit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-13,Non-Holiday,0,Fog,29.49,7.9,37.75,206,0,513.94,71,Delta Airlines,132,157,673,132,71,1.0,1240.7
AA100,LAX,ATL,2023-06-27,00:30:00,2023-05-18,Travel Agency,2568,35,Business,802.734,Premium,Miles,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-27,Non-Holiday,0,Storm,35.49,16.81,0.33,213,0,115.02,40,American Airlines,177,233,30,177,40,1.2,1337.89
BA202,DFW,SEA,2023-06-10,17:43:00,2023-03-18,Phone,4752,37,First Class,629.365,Premium,Credit Card,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-10,Non-Holiday,0,Snow,13.41,4.85,3.59,219,0,1082.98,84,British Airways,160,172,1063,160,84,1.0,1258.73
AA100,DFW,SFO,2023-06-16,04:57:00,2023-05-13,Phone,4035,35,First Class,764.9340000000001,Premium,Miles,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-16,Non-Holiday,0,Storm,2.02,2.75,39.04,236,0,819.85,34,American Airlines,166,228,297,166,34,1.2,1274.89
DA404,DFW,MIA,2023-07-01,17:24:00,2023-05-28,Phone,3044,44,Business,574.476,Premium,Debit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,Christmas,2023-07-01,Public Holiday,1,Rain,13.81,14.34,13.49,16,0,315.08,34,Delta Airlines,181,243,1044,181,34,1.2,957.46
CA303,LAX,MIA,2023-01-21,03:38:00,2022-11-01,Travel Agency,1287,41,Economy,618.61,Premium,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-21,Non-Holiday,0,Clear,20.63,6.2,6.37,193,0,1139.9,81,Air Canada,20,35,218,20,81,1.0,1237.22
EA505,JFK,ATL,2023-04-07,15:04:00,2023-01-06,Phone,1142,60,First Class,325.36,Premium,Debit Card,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-07,Non-Holiday,0,Storm,-0.37,1.9,47.37,123,0,1370.89,91,Emirates,96,101,904,96,91,1.0,650.72
CA303,ORD,LAS,2023-05-22,15:34:00,2023-03-26,Phone,1015,25,Economy,646.22,Regular,Miles,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-22,Non-Holiday,0,Clear,2.8,8.06,1.51,160,0,873.04,57,Air Canada,141,180,934,141,57,1.0,1292.44
DA404,ORD,LAS,2023-08-14,18:41:00,2023-07-07,Online,3684,26,Economy,584.13,Discount,Credit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-14,Non-Holiday,0,Snow,6.31,10.74,12.81,61,0,1057.9,38,Delta Airlines,225,283,1121,225,38,1.2,973.55
BA202,DEN,SFO,2023-03-08,14:15:00,2023-01-12,Phone,2622,68,First Class,554.725,Regular,Miles,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-08,Non-Holiday,0,Storm,20.25,8.33,8.78,201,0,1052.41,55,British Airways,66,107,855,66,55,1.0,1109.45
DA404,JFK,SEA,2023-11-05,13:00:00,2023-08-10,Online,446,44,First Class,54.075,Discount,Debit Card,2023-11,2023-11-01,0.77,7.73,8.5,2023-11,No Holiday,2023-11-05,Non-Holiday,0,Fog,0.84,6.92,21.16,187,0,282.29,87,Delta Airlines,308,317,780,308,87,1.0,108.15
DA404,LAX,LAS,2023-04-21,10:09:00,2023-01-18,Travel Agency,1066,63,First Class,622.255,Discount,Miles,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-21,Non-Holiday,0,Clear,21.85,15.06,19.95,22,1,1143.71,93,Delta Airlines,110,113,609,110,93,1.0,1244.51
EA505,DEN,SFO,2023-03-24,00:14:00,2022-12-27,Travel Agency,4244,23,Business,147.04,Discount,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-24,Non-Holiday,0,Storm,36.12,4.26,11.64,197,0,1346.36,87,Emirates,82,91,14,82,87,1.0,294.08
DA404,LAX,SEA,2023-01-04,02:17:00,2022-12-14,Online,3663,69,Business,352.305,Premium,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-04,Non-Holiday,0,Rain,23.51,19.26,14.23,3,0,520.97,21,Delta Airlines,3,78,137,3,21,1.5,469.74
AA100,JFK,SEA,2023-02-28,21:07:00,2022-12-05,Phone,2488,66,Economy,317.505,Regular,Miles,2023-02,2023-02-01,-0.8,3.75,6.88,2023-02,No Holiday,2023-02-28,Non-Holiday,0,Rain,9.6,16.73,8.24,57,0,1216.8,85,American Airlines,58,69,1267,58,85,1.0,635.01
EA505,LAX,ATL,2023-02-16,16:03:00,2022-12-10,Online,3397,66,First Class,431.48,Premium,Credit Card,2023-02,2023-02-01,-0.8,3.75,6.88,2023-02,No Holiday,2023-02-16,Non-Holiday,0,Rain,-3.03,15.74,20.56,60,0,689.05,68,Emirates,46,74,963,46,68,1.0,862.96
EA505,DEN,LAS,2023-01-21,08:40:00,2022-12-18,Phone,1118,26,Economy,850.812,Regular,Debit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-21,Non-Holiday,0,Rain,9.81,19.2,37.89,71,0,172.6,34,Emirates,20,82,520,20,34,1.2,1418.02
EA505,ORD,LAS,2023-07-16,18:25:00,2023-05-26,Online,3998,40,First Class,699.435,Regular,Debit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-16,Non-Holiday,0,Rain,20.24,15.77,44.62,208,0,1099.32,51,Emirates,196,241,1105,196,51,1.0,1398.87
